date,description,amount,type,category,explanation
2023-12-01,FAST PAYMENT via PayNow-Mobile to Faith OTHR - GPay-,-5.06,Withdrawal,Transfers,This transaction is a transfer of funds to a person named Faith via Google Pay (GPay) using the PayNow-Mobile service.
2023-12-01,FUND TRANSFER via PayNow-QR Code to QFPAY SINGAPORE OTHR - QF2023113002005100,-6.7,Withdrawal,Transfers,This transaction is a fund transfer made via PayNow-QR Code to QFPAY in Singapore.
2023-12-01,GIRO OTHR GOV GOV,800.0,Deposit,Income,"This is a deposit transaction, likely a government benefit or payment."
2023-12-01,CASH WITHDRAWAL ATM VIA QR CODE OCBC-KENT RIDGE MRT SINGAPORE,-500.0,Withdrawal,Transfers,This transaction represents a cash withdrawal made from an ATM at Kent Ridge MRT station in Singapore using a QR code.
2023-12-02,DEBIT PURCHASE 30/11/23 xx-0411 STARBUCKS@HOMETEAMNS(HTM),-4.9,Withdrawal,Food,Payment for a purchase at Starbucks.
2023-12-02,DEBIT PURCHASE 30/11/23 xx-6482 EZ-LINK APP S,-20.0,Withdrawal,Transport,"This is a payment for a transport service, specifically through the EZ-Link app."
2023-12-02,NETS QR 70835401 NETS QR PURCHASE MINI WOK,-4.3,Withdrawal,Food,Payment for a meal at Mini Wok using NETS QR.
2023-12-03,COLLECTION/TRANSFER UBIL Arnold 90da19d7cc5b4e96abf GRABPAY TOPUP Arnold,-20.0,Withdrawal,Transfers,"This transaction is a transfer of funds to GrabPay, likely for future use in transport or food services."
2023-12-03,CREDIT PURCHASE 01/12/23 xx-0411 MCDONALD'S (MPS) S,-18.0,Withdrawal,Food,Payment for a meal at McDonald's.
2023-12-03,CREDIT PURCHASE 01/12/23 xx-0411 STARBUCKS@HOMETEAMNS(HTM),-11.8,Withdrawal,Food,Payment for a purchase at Starbucks.
2023-12-03,COLLECTION/TRANSFER UBIL Arnold 90da19d7cc5b4e96abf GRABPAY TOPUP Arnold,-21.0,Withdrawal,Transfers,"This transaction represents a transfer of funds to top up a GrabPay account, which is a mobile payment service."
2023-12-03,COLLECTION/TRANSFER UBIL Arnold 90da19d7cc5b4e96abf GRABPAY TOPUP Arnold,-50.0,Withdrawal,Transfers,"This transaction is a transfer of funds to GrabPay, likely for future use in transport or other services provided by Grab."
2023-12-03,PAYMENT/TRANSFER via PayNow-DBSS from KENJI HO JUN S OTHR KENJI HO JUN SIAN,14.0,Deposit,Transfers,This is a transfer received from Kenji Ho Jun Sian via PayNow-DBSS.
