date,description,amount,type,category,explanation
2023-01-01,GIRO DEBIT 01/01/23 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Payment for tuition fees at National University.
2023-01-15,DEBIT PURCHASE 15/01/23 POPULAR BOOKSTORE,-30.0,Withdrawal,Education,Purchased textbooks at Popular Bookstore.
2023-02-01,GIRO DEBIT 01/02/23 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Payment for tuition fees at National University.
2023-02-10,DEBIT PURCHASE 10/02/23 AMAZON,-15.0,Withdrawal,Education,Ordered an educational book from Amazon.
2023-03-01,GIRO DEBIT 01/03/23 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Payment for tuition fees at National University.
2023-03-20,DEBIT PURCHASE 20/03/23 KINOKUNIYA,-45.0,Withdrawal,Education,Bought textbooks at Kinokuniya.
2023-04-01,GIRO DEBIT 01/04/23 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Payment for tuition fees at National University.
2023-04-18,DEBIT PURCHASE 18/04/23 COURSERA,-50.0,Withdrawal,Education,Subscribed to a course on Coursera.
2023-05-01,GIRO DEBIT 01/05/23 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Payment for tuition fees at National University.
2023-05-10,DEBIT PURCHASE 10/05/23 AMAZON,-20.0,Withdrawal,Education,Ordered an educational book from Amazon.
2023-06-01,GIRO DEBIT 01/06/23 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Payment for tuition fees at National University.
2023-06-15,DEBIT PURCHASE 15/06/23 POPULAR BOOKSTORE,-30.0,Withdrawal,Education,Purchased textbooks at Popular Bookstore.
2023-07-01,GIRO DEBIT 01/07/23 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Payment for tuition fees at National University.
2023-07-20,DEBIT PURCHASE 20/07/23 KINOKUNIYA,-45.0,Withdrawal,Education,Bought textbooks at Kinokuniya.
2023-08-01,GIRO DEBIT 01/08/23 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Payment for tuition fees at National University.
2023-08-10,DEBIT PURCHASE 10/08/23 COURSERA,-50.0,Withdrawal,Education,Subscribed to a course on Coursera.
2023-09-01,GIRO DEBIT 01/09/23 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Payment for tuition fees at National University.
2023-09-15,DEBIT PURCHASE 15/09/23 AMAZON,-20.0,Withdrawal,Education,Ordered an educational book from Amazon.
2023-10-01,GIRO DEBIT 01/10/23 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Payment for tuition fees at National University.
2023-10-10,DEBIT PURCHASE 10/10/23 POPULAR BOOKSTORE,-30.0,Withdrawal,Education,Purchased textbooks at Popular Bookstore.
2023-11-01,GIRO DEBIT 01/11/23 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Payment for tuition fees at National University.
2023-11-20,DEBIT PURCHASE 20/11/23 KINOKUNIYA,-45.0,Withdrawal,Education,Bought textbooks at Kinokuniya.
2023-12-01,GIRO DEBIT 01/12/23 NATIONAL UNIVERSITY,-500.0,Withdrawal,Education,Payment for tuition fees at National University.
2023-12-10,DEBIT PURCHASE 10/12/23 COURSERA,-50.0,Withdrawal,Education,Subscribed to a course on Coursera.
2023-12-15,DEBIT PURCHASE 15/12/23 AMAZON,-20.0,Withdrawal,Education,Ordered an educational book from Amazon.
2023-01-07,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY OF SINGAPORE,-2500.0,Withdrawal,Education,Tuition fees for the National University of Singapore.
2023-01-15,DEBIT PURCHASE xx-0411 AMAZON SG,-50.0,Withdrawal,Education,Purchase of textbooks for university from Amazon SG.
2023-02-02,GIRO PAYMENT xx-0411 NATIONAL UNIVERSITY OF SINGAPORE,-2500.0,Withdrawal,Education,Tuition fees for the National University of Singapore.
