top_k,alpha,boost_factor,model_type,Recall@K,MRR@K
5,0.3,0,multi-qa-MiniLM-L6-cos-v1,0.75,0.547916667
5,0.3,0,all-mpnet-base-v2,0.791666667,0.58125
5,0.3,0,msmarco-MiniLM-L-6-v3,0.708333333,0.532638889
5,0.3,0.2,multi-qa-MiniLM-L6-cos-v1,0.75,0.547916667
5,0.3,0.2,all-mpnet-base-v2,0.791666667,0.58125
5,0.3,0.2,msmarco-MiniLM-L-6-v3,0.708333333,0.532638889
5,0.5,0,multi-qa-MiniLM-L6-cos-v1,0.75,0.547916667
5,0.5,0,all-mpnet-base-v2,0.791666667,0.58125
5,0.5,0,msmarco-MiniLM-L-6-v3,0.708333333,0.532638889
5,0.5,0.2,multi-qa-MiniLM-L6-cos-v1,0.75,0.547916667
5,0.5,0.2,all-mpnet-base-v2,0.791666667,0.58125
5,0.5,0.2,msmarco-MiniLM-L-6-v3,0.708333333,0.532638889
5,0.7,0,multi-qa-MiniLM-L6-cos-v1,0.75,0.547916667
5,0.7,0,all-mpnet-base-v2,0.791666667,0.58125
5,0.7,0,msmarco-MiniLM-L-6-v3,0.708333333,0.532638889
5,0.7,0.2,multi-qa-MiniLM-L6-cos-v1,0.75,0.547916667
5,0.7,0.2,all-mpnet-base-v2,0.791666667,0.58125
5,0.7,0.2,msmarco-MiniLM-L-6-v3,0.708333333,0.532638889
10,0.3,0,multi-qa-MiniLM-L6-cos-v1,0.791666667,0.521875
10,0.3,0,all-mpnet-base-v2,0.833333333,0.524404762
10,0.3,0,msmarco-MiniLM-L-6-v3,0.833333333,0.522337963
10,0.3,0.2,multi-qa-MiniLM-L6-cos-v1,0.791666667,0.521875
10,0.3,0.2,all-mpnet-base-v2,0.833333333,0.524404762
10,0.3,0.2,msmarco-MiniLM-L-6-v3,0.833333333,0.522337963
10,0.5,0,multi-qa-MiniLM-L6-cos-v1,0.791666667,0.521875
10,0.5,0,all-mpnet-base-v2,0.833333333,0.524404762
10,0.5,0,msmarco-MiniLM-L-6-v3,0.833333333,0.522337963
10,0.5,0.2,multi-qa-MiniLM-L6-cos-v1,0.791666667,0.521875
10,0.5,0.2,all-mpnet-base-v2,0.833333333,0.524404762
10,0.5,0.2,msmarco-MiniLM-L-6-v3,0.833333333,0.522337963
10,0.7,0,multi-qa-MiniLM-L6-cos-v1,0.791666667,0.521875
10,0.7,0,all-mpnet-base-v2,0.833333333,0.524404762
10,0.7,0,msmarco-MiniLM-L-6-v3,0.833333333,0.522337963
10,0.7,0.2,multi-qa-MiniLM-L6-cos-v1,0.791666667,0.521875
10,0.7,0.2,all-mpnet-base-v2,0.833333333,0.524404762
10,0.7,0.2,msmarco-MiniLM-L-6-v3,0.833333333,0.522337963
20,0.3,0,multi-qa-MiniLM-L6-cos-v1,0.791666667,0.512962963
20,0.3,0,all-mpnet-base-v2,0.791666667,0.508845899
20,0.3,0,msmarco-MiniLM-L-6-v3,0.75,0.504282407
20,0.3,0.2,multi-qa-MiniLM-L6-cos-v1,0.791666667,0.512962963
20,0.3,0.2,all-mpnet-base-v2,0.791666667,0.508845899
20,0.3,0.2,msmarco-MiniLM-L-6-v3,0.75,0.504282407
20,0.5,0,multi-qa-MiniLM-L6-cos-v1,0.791666667,0.512962963
20,0.5,0,all-mpnet-base-v2,0.791666667,0.508845899
20,0.5,0,msmarco-MiniLM-L-6-v3,0.75,0.504282407
20,0.5,0.2,multi-qa-MiniLM-L6-cos-v1,0.791666667,0.512962963
20,0.5,0.2,all-mpnet-base-v2,0.791666667,0.508845899
20,0.5,0.2,msmarco-MiniLM-L-6-v3,0.75,0.504282407
20,0.7,0,multi-qa-MiniLM-L6-cos-v1,0.791666667,0.512962963
20,0.7,0,all-mpnet-base-v2,0.791666667,0.508845899
20,0.7,0,msmarco-MiniLM-L-6-v3,0.75,0.504282407
20,0.7,0.2,multi-qa-MiniLM-L6-cos-v1,0.791666667,0.512962963
20,0.7,0.2,all-mpnet-base-v2,0.791666667,0.508845899
20,0.7,0.2,msmarco-MiniLM-L-6-v3,0.75,0.504282407
